# Time vs Frequencies
-1.137743011831875798e-11 6.707823494904209562e-12 1.095433048454649762e-11 2.516307286003160678e-04 2.516307286003165015e-04 2.516307286003171520e-04 2.674756567318078613e-04 2.674756567318080239e-04 2.674756567318084034e-04 2.674756567318087286e-04 2.674756567318092707e-04 2.674756567318094876e-04 4.138769934008080446e-04 4.138769934008083157e-04 4.138769934008085325e-04 4.138769934008085325e-04 4.138769934008088036e-04 4.138769934008088578e-04 4.940915923568388150e-04 4.940915923568392487e-04 4.940915923568392487e-04 5.408458604619839757e-04 5.408458604619848431e-04 5.408458604619849515e-04 5.545379709219407397e-04 5.545379709219408482e-04 5.545379709219409566e-04 5.545379709219410650e-04 5.545379709219413903e-04 5.545379709219413903e-04 5.545379709219414987e-04 5.545379709219414987e-04 7.594240251390325372e-04 7.594240251390327540e-04 7.594240251390328624e-04 7.594240251390328624e-04 7.594240251390329708e-04 7.594240251390332961e-04 7.594240251390334045e-04 7.594240251390339466e-04 8.541051298912394427e-04 8.541051298912399848e-04 8.541051298912408522e-04 8.541051298912409606e-04 9.885820771250181799e-04 9.885820771250190472e-04 9.885820771250194809e-04 9.885820771250203483e-04
-1.517709307573674900e-11 8.738848589821734482e-12 1.748438894008191642e-11 2.509694026735689431e-04 2.509694026735695394e-04 2.509694026735705694e-04 2.665848063822289968e-04 2.665848063822301895e-04 2.665848063822304605e-04 2.665848063822305689e-04 2.665848063822310568e-04 2.665848063822313279e-04 4.142938622981526806e-04 4.142938622981527349e-04 4.142938622981531685e-04 4.142938622981533312e-04 4.142938622981535480e-04 4.142938622981537106e-04 4.898825628740141862e-04 4.898825628740148368e-04 4.898825628740150536e-04 5.412284912872070315e-04 5.412284912872085494e-04 5.412284912872095252e-04 5.553043310475557501e-04 5.553043310475560754e-04 5.553043310475561838e-04 5.553043310475561838e-04 5.553043310475565091e-04 5.553043310475565091e-04 5.553043310475566175e-04 5.553043310475571596e-04 7.599316243001177180e-04 7.599316243001184770e-04 7.599316243001185854e-04 7.599316243001186938e-04 7.599316243001189106e-04 7.599316243001193443e-04 7.599316243001196696e-04 7.599316243001202117e-04 8.545335801377943429e-04 8.545335801377957523e-04 8.545335801377960776e-04 8.545335801377965113e-04 9.890092905671819725e-04 9.890092905671821893e-04 9.890092905671830567e-04 9.890092905671830567e-04
-6.155943546153196309e-12 -4.624938492346332278e-12 1.049027530482868270e-11 2.503154282230903201e-04 2.503154282230907537e-04 2.503154282230916753e-04 2.656958159329866312e-04 2.656958159329868480e-04 2.656958159329873902e-04 2.656958159329879865e-04 2.656958159329880407e-04 2.656958159329882033e-04 4.147114443688920595e-04 4.147114443688927642e-04 4.147114443688927642e-04 4.147114443688927642e-04 4.147114443688934148e-04 4.147114443688940111e-04 4.856869445657894472e-04 4.856869445657896098e-04 4.856869445657900977e-04 5.416087281195718604e-04 5.416087281195726194e-04 5.416087281195732699e-04 5.560606510360479194e-04 5.560606510360482447e-04 5.560606510360484615e-04 5.560606510360487868e-04 5.560606510360490036e-04 5.560606510360492204e-04 5.560606510360494373e-04 5.560606510360498710e-04 7.604336369642231488e-04 7.604336369642234741e-04 7.604336369642236909e-04 7.604336369642236909e-04 7.604336369642240162e-04 7.604336369642244499e-04 7.604336369642255341e-04 7.604336369642256425e-04 8.549582808920438461e-04 8.549582808920446050e-04 8.549582808920448218e-04 8.549582808920456892e-04 9.894318561123416431e-04 9.894318561123422937e-04 9.894318561123431610e-04 9.894318561123431610e-04
-1.227951024396967097e-11 8.127539584108340258e-12 1.723365249208144201e-11 2.496689092743910603e-04 2.496689092743915482e-04 2.496689092743926866e-04 2.648090732800178148e-04 2.648090732800185737e-04 2.648090732800186279e-04 2.648090732800190074e-04 2.648090732800193869e-04 2.648090732800200916e-04 4.151294508722316694e-04 4.151294508722322115e-04 4.151294508722322115e-04 4.151294508722324825e-04 4.151294508722332957e-04 4.151294508722340004e-04 4.815046020504299665e-04 4.815046020504304544e-04 4.815046020504312675e-04 5.419865537310763429e-04 5.419865537310772103e-04 5.419865537310779692e-04 5.568070992505757318e-04 5.568070992505759487e-04 5.568070992505761655e-04 5.568070992505762739e-04 5.568070992505762739e-04 5.568070992505764908e-04 5.568070992505769244e-04 5.568070992505775750e-04 7.609301456120008038e-04 7.609301456120008038e-04 7.609301456120017796e-04 7.609301456120018880e-04 7.609301456120022133e-04 7.609301456120026470e-04 7.609301456120030806e-04 7.609301456120037312e-04 8.553792909379005858e-04 8.553792909379012363e-04 8.553792909379025373e-04 8.553792909379027542e-04 9.898498365730275424e-04 9.898498365730277592e-04 9.898498365730279760e-04 9.898498365730288434e-04
6.775074747665697164e-12 8.615215212441506235e-12 1.531614873662015650e-11 2.490299455259505079e-04 2.490299455259509416e-04 2.490299455259518632e-04 2.639249442178259047e-04 2.639249442178260674e-04 2.639249442178267721e-04 2.639249442178269347e-04 2.639249442178274226e-04 2.639249442178276395e-04 4.155476124423118688e-04 4.155476124423121941e-04 4.155476124423128446e-04 4.155476124423131698e-04 4.155476124423138204e-04 4.155476124423142540e-04 4.773353999460757790e-04 4.773353999460769174e-04 4.773353999460771884e-04 5.423619534899068147e-04 5.423619534899080073e-04 5.423619534899083326e-04 5.575438407601558026e-04 5.575438407601559111e-04 5.575438407601561279e-04 5.575438407601562363e-04 5.575438407601563447e-04 5.575438407601569953e-04 5.575438407601571037e-04 5.575438407601591637e-04 7.614212311775479976e-04 7.614212311775483228e-04 7.614212311775485397e-04 7.614212311775487565e-04 7.614212311775490818e-04 7.614212311775495155e-04 7.614212311775499491e-04 7.614212311775511418e-04 8.557966680954645069e-04 8.557966680954648322e-04 8.557966680954649406e-04 8.557966680954661332e-04 9.902632937303275113e-04 9.902632937303277282e-04 9.902632937303277282e-04 9.902632937303296797e-04
-1.094794884053038642e-11 5.421844336950338814e-12 2.028723646672290150e-11 2.483986324779754724e-04 2.483986324779763940e-04 2.483986324779764482e-04 2.630437736633679845e-04 2.630437736633683098e-04 2.630437736633691771e-04 2.630437736633694482e-04 2.630437736633694482e-04 2.630437736633702071e-04 4.159656779303257741e-04 4.159656779303272920e-04 4.159656779303275089e-04 4.159656779303276173e-04 4.159656779303279968e-04 4.159656779303303278e-04 4.731792029046825890e-04 4.731792029046830769e-04 4.731792029046832395e-04 5.427349152392460562e-04 5.427349152392461646e-04 5.427349152392486583e-04 5.582710374031861749e-04 5.582710374031861749e-04 5.582710374031867170e-04 5.582710374031872591e-04 5.582710374031876928e-04 5.582710374031881265e-04 5.582710374031881265e-04 5.582710374031887770e-04 7.619069730795049056e-04 7.619069730795053393e-04 7.619069730795055562e-04 7.619069730795055562e-04 7.619069730795056646e-04 7.619069730795067488e-04 7.619069730795076162e-04 7.619069730795077246e-04 8.562104692388605937e-04 8.562104692388616779e-04 8.562104692388618947e-04 8.562104692388626537e-04 9.906722883496711304e-04 9.906722883496713473e-04 9.906722883496717810e-04 9.906722883496732988e-04
6.963322744407866301e-12 7.726160749069251262e-12 1.538326318950436348e-11 2.477750615559435481e-04 2.477750615559442529e-04 2.477750615559445239e-04 2.621658868167666355e-04 2.621658868167667440e-04 2.621658868167669608e-04 2.621658868167673403e-04 2.621658868167677198e-04 2.621658868167684245e-04 4.163834133078797703e-04 4.163834133078802581e-04 4.163834133078811797e-04 4.163834133078812339e-04 4.163834133078812881e-04 4.163834133078839986e-04 4.690358756466572591e-04 4.690358756466575301e-04 4.690358756466576928e-04 5.431054291815548768e-04 5.431054291815567200e-04 5.431054291815594305e-04 5.589888478497136767e-04 5.589888478497140019e-04 5.589888478497141103e-04 5.589888478497149777e-04 5.589888478497150861e-04 5.589888478497154114e-04 5.589888478497154114e-04 5.589888478497168208e-04 7.623874492512657496e-04 7.623874492512660748e-04 7.623874492512661832e-04 7.623874492512662917e-04 7.623874492512668338e-04 7.623874492512683516e-04 7.623874492512686769e-04 7.623874492512688937e-04 8.566207503136006327e-04 8.566207503136009579e-04 8.566207503136021506e-04 8.566207503136022590e-04 9.910768801961742161e-04 9.910768801961746498e-04 9.910768801961757340e-04 9.910768801961772519e-04
-1.013826373289717912e-11 1.118687400519702297e-11 2.509271349714063374e-11 2.471593202290880346e-04 2.471593202290881973e-04 2.471593202290887394e-04 2.612915902607175034e-04 2.612915902607185334e-04 2.612915902607185876e-04 2.612915902607186418e-04 2.612915902607197802e-04 2.612915902607199970e-04 4.168006006297713902e-04 4.168006006297729623e-04 4.168006006297729623e-04 4.168006006297735044e-04 4.168006006297736129e-04 4.168006006297767028e-04 4.649052829960923210e-04 4.649052829960930800e-04 4.649052829960934052e-04 5.434734877680592793e-04 5.434734877680610140e-04 5.434734877680653508e-04 5.596974276624600833e-04 5.596974276624603001e-04 5.596974276624604085e-04 5.596974276624614927e-04 5.596974276624618180e-04 5.596974276624619264e-04 5.596974276624622517e-04 5.596974276624624685e-04 7.628627361703129708e-04 7.628627361703136213e-04 7.628627361703137297e-04 7.628627361703137297e-04 7.628627361703139466e-04 7.628627361703158982e-04 7.628627361703161150e-04 7.628627361703163318e-04 8.570275663534275947e-04 8.570275663534279199e-04 8.570275663534296547e-04 8.570275663534297631e-04 9.914771280495466004e-04 9.914771280495479015e-04 9.914771280495481183e-04 9.914771280495507204e-04
-1.264113343069110302e-11 7.908738123207358463e-12 1.895694719959369954e-11 2.465514921240113738e-04 2.465514921240113738e-04 2.465514921240115906e-04 2.604211730006805595e-04 2.604211730006819690e-04 2.604211730006822400e-04 2.604211730006827821e-04 2.604211730006828905e-04 2.604211730006834326e-04 4.172170370541728813e-04 4.172170370541737486e-04 4.172170370541744533e-04 4.172170370541752123e-04 4.172170370541765133e-04 4.172170370541780312e-04 4.607872899164707587e-04 4.607872899164710298e-04 4.607872899164710840e-04 5.438390855932082567e-04 5.438390855932107503e-04 5.438390855932142198e-04 5.603969293566326724e-04 5.603969293566327808e-04 5.603969293566328893e-04 5.603969293566332145e-04 5.603969293566338650e-04 5.603969293566344071e-04 5.603969293566349492e-04 5.603969293566349492e-04 7.633329088867277365e-04 7.633329088867288207e-04 7.633329088867291459e-04 7.633329088867291459e-04 7.633329088867301217e-04 7.633329088867312059e-04 7.633329088867316396e-04 7.633329088867318564e-04 8.574309714966847022e-04 8.574309714966850274e-04 8.574309714966874127e-04 8.574309714966876295e-04 9.918730897185848785e-04 9.918730897185861796e-04 9.918730897185863964e-04 9.918730897185881312e-04
-9.153145905005412548e-12 -8.712899695366717426e-12 2.314669906321449924e-11 2.459516571335758567e-04 2.459516571335773746e-04 2.459516571335778625e-04 2.595549074480631461e-04 2.595549074480639593e-04 2.595549074480647182e-04 2.595549074480647724e-04 2.595549074480655314e-04 2.595549074480658024e-04 4.176325339180136714e-04 4.176325339180145388e-04 4.176325339180147556e-04 4.176325339180149724e-04 4.176325339180159482e-04 4.176325339180187129e-04 4.566817615467221817e-04 4.566817615467233743e-04 4.566817615467239706e-04 5.442022192938625064e-04 5.442022192938648917e-04 5.442022192938676022e-04 5.610875024585158105e-04 5.610875024585162442e-04 5.610875024585168947e-04 5.610875024585170031e-04 5.610875024585170031e-04 5.610875024585186294e-04 5.610875024585187379e-04 5.610875024585200389e-04 7.637980410509013877e-04 7.637980410509017130e-04 7.637980410509027972e-04 7.637980410509029056e-04 7.637980410509030140e-04 7.637980410509036646e-04 7.637980410509042067e-04 7.637980410509056161e-04 8.578310190022174226e-04 8.578310190022190489e-04 8.578310190022213257e-04 8.578310190022216510e-04 9.922648220552453529e-04 9.922648220552483887e-04 9.922648220552492560e-04 9.922648220552507739e-04
